date,temperature,wind_speed,solar_irradiance
20200707,28.89,1.97,5.6779
20200708,29.32,1.34,6.3648
20200709,29.9,1.92,5.6827
20200710,29.45,1.83,4.1218
20200711,28.92,1.47,2.8022
20200712,28.12,1.51,2.5601
20200713,28.56,1.06,6.4858
20200714,28.79,1.29,6.6214
20200715,28.99,1.83,6.319
20200716,29.07,2.07,5.8548
20200717,29.24,1.89,6.4886
20200718,29.09,1.88,5.9657
20200719,29.25,1.21,4.5468
20200720,29.03,1.13,2.3258
20200721,28.08,1.89,5.0887
20200722,27.86,2.34,5.7482
20200723,28.56,1.86,6.0038
20200724,28.6,1.75,5.7374
20200725,28.9,1.94,5.5738
20200726,29.14,1.46,5.4014
20200727,29.2,0.62,2.9976
20200728,28.17,0.71,4.7954
20200729,29.34,0.67,5.0242
20200730,29.56,1.05,6.2614
20200731,29.75,1.07,5.0606
20200801,28.14,2.94,4.5221
20200802,27.17,5.97,2.2898
20200803,27.37,3.04,2.7329
20200804,27.51,1.54,3.0689
20200805,27.28,1.14,2.4295
20200806,27.33,1.84,2.1746
20200807,28.0,1.96,2.8951
20200808,28.08,1.93,5.8668
20200809,29.07,1.44,5.2392
20200810,29.14,1.25,5.6378
20200811,29.06,1.37,6.3614
20200812,28.67,1.32,5.3225
20200813,27.44,1.79,4.6973
20200814,26.48,2.22,2.6098
20200815,26.37,2.35,4.0642
20200816,26.42,2.5,3.5933
20200817,25.93,1.88,3.4337
20200818,26.37,0.99,3.4457
20200819,26.57,1.38,4.0183
20200820,26.82,1.41,4.8958
20200821,26.39,1.18,4.3723
20200822,27.29,0.98,5.1758
20200823,27.62,1.26,6.2616
20200824,28.57,1.04,6.1838
20200825,29.29,1.41,6.2198
20200826,29.54,1.3,7.1839
20200827,29.95,0.94,6.7942
20200828,29.11,0.91,5.5831
20200829,29.19,0.82,5.987
20200830,29.18,0.98,6.024
20200831,28.89,0.63,4.6265
20200901,29.16,1.25,6.5424
20200902,29.69,0.98,6.223
20200903,29.66,0.85,4.9752
20200904,29.31,0.98,5.5949
20200905,28.39,1.6,5.291
20200906,29.7,0.84,5.1298
20200907,29.27,0.53,1.6486
20200908,26.7,0.89,3.9953
20200909,27.02,1.13,4.278
20200910,27.84,1.8,4.5614
20200911,28.29,1.3,4.0409
20200912,28.19,1.28,3.6317
20200913,27.74,1.24,4.9466
20200914,27.79,1.61,4.7114
20200915,27.78,1.57,4.9877
20200916,27.96,1.44,5.0417
20200917,28.75,1.33,4.6608
20200918,23.99,4.82,2.3208
20200919,24.48,3.68,2.0906
20200920,25.47,1.56,2.8826
20200921,26.25,1.93,3.9281
20200922,26.91,1.66,1.8684
20200923,26.6,1.73,2.5325
20200924,25.3,1.74,2.7425
20200925,26.3,1.68,3.8417
20200926,27.45,1.52,4.7534
20200927,26.67,1.96,2.0345
20200928,26.5,1.61,3.6982
20200929,26.95,1.13,5.1854
20200930,27.48,1.15,5.2202
20201001,27.09,1.39,3.6814
20201002,27.22,1.29,4.891
20201003,26.96,1.27,3.7622
20201004,26.95,1.16,4.5451
20201005,26.75,1.76,4.494
20201006,22.56,2.27,3.3221
20201007,22.14,2.54,3.8822
20201008,21.53,2.58,4.559
20201009,20.97,2.4,5.0076
20201010,21.25,1.85,5.1982
20201011,21.9,1.72,5.0371
20201012,23.14,2.1,4.6464
20201013,23.5,2.33,5.1715
20201014,22.68,4.4,1.3123
20201015,24.08,2.26,1.7453
20201016,21.9,3.77,2.6904
20201017,19.4,3.41,2.171
20201018,19.29,2.96,2.8176
20201019,18.51,2.82,1.2679
20201020,19.73,2.3,2.8474
20201021,20.53,2.11,4.9015
20201022,20.33,2.27,5.7211
20201023,19.85,2.06,5.9858
20201024,20.18,1.57,5.5114
20201025,20.67,1.72,2.7672
20201026,21.97,1.89,1.4846
20201027,23.64,1.28,3.726
20201028,23.58,2.79,3.6742
20201029,20.9,4.0,1.0577
20201030,20.13,2.06,1.2835
20201031,22.1,1.35,1.4916
20201101,23.55,0.88,2.8558
20201102,21.64,2.25,1.7717
20201103,19.9,2.05,2.261
20201104,20.33,1.4,2.083
20201105,20.8,1.09,2.5987
20201106,22.36,1.18,2.2829
20201107,21.71,2.03,3.8191
20201108,21.17,2.06,4.823
20201109,19.12,2.26,5.1602
20201110,17.58,2.06,5.2322
20201111,18.26,1.67,4.7146
20201112,20.05,1.67,4.7074
20201113,19.31,1.84,5.3604
20201114,18.71,2.07,5.2452
20201115,19.06,2.69,1.2473
20201116,21.16,2.34,0.9127
20201117,23.54,2.22,2.1329
20201118,23.94,1.88,2.7492
20201119,24.18,1.31,3.1505
20201120,24.16,1.72,3.3168
20201121,24.2,1.55,4.0296
20201122,23.92,1.57,3.2736
20201123,22.36,2.01,2.9102
20201124,20.99,1.7,2.815
20201125,22.37,1.6,3.0158
20201126,22.47,1.62,3.4524
20201127,18.73,2.09,3.0521
20201128,16.05,2.49,2.4814
20201129,15.22,2.02,3.173
20201130,14.74,2.13,4.6596
20201201,14.72,1.65,2.6078
20201202,15.69,1.43,2.3422
20201203,15.06,2.45,2.4679
20201204,12.9,2.24,2.3033
20201205,12.52,1.51,2.7737
20201206,13.28,1.23,4.2204
20201207,14.64,1.76,2.1785
20201208,14.19,1.79,2.8826
20201209,15.12,0.92,2.9213
20201210,16.41,1.15,2.5519
20201211,17.21,1.11,2.5524
20201212,18.7,1.31,3.0233
20201213,20.75,1.12,2.8699
20201214,17.52,2.67,2.4926
20201215,12.42,2.43,0.8568
20201216,11.38,2.4,1.2742
20201217,10.85,2.0,1.243
20201218,10.84,2.5,1.4402
20201219,11.17,2.48,1.8658
20201220,10.6,2.51,2.0626
20201221,11.17,1.86,2.2766
20201222,12.52,1.52,2.7398
20201223,14.1,1.03,2.3954
20201224,15.19,1.48,2.4554
20201225,14.47,1.14,2.5495
20201226,16.57,0.83,2.0201
20201227,20.08,1.03,1.4546
20201228,21.28,2.57,1.8686
20201229,21.23,2.19,2.226
20201230,12.26,3.8,2.0964
20201231,9.18,2.05,3.8914
20210101,9.52,1.47,4.4491
20210102,10.43,1.17,4.7717
20210103,12.56,1.23,4.4203
20210104,13.06,1.27,2.0926
20210105,14.98,1.18,1.555
20210106,13.66,1.54,0.9677
20210107,11.81,2.93,0.6826
20210108,8.29,3.46,1.1923
20210109,7.83,2.09,1.5271
20210110,8.66,1.94,1.645
20210111,8.81,3.14,2.3198
20210112,10.58,1.57,4.2526
20210113,12.11,1.09,4.8118
20210114,13.73,0.83,4.4143
20210115,14.86,0.97,2.2133
20210116,16.06,1.08,1.3834
20210117,12.83,2.67,0.552
20210118,11.26,1.6,4.7998
20210119,12.84,1.26,4.8173
20210120,14.77,1.47,2.0566
20210121,17.1,1.06,1.5257
20210122,18.22,0.87,2.1139
20210123,17.89,1.21,2.3801
20210124,18.39,2.46,2.7852
20210125,19.84,2.03,1.645
20210126,18.99,1.83,2.4468
20210127,18.35,1.91,1.7503
20210128,16.41,2.52,1.0274
20210129,15.5,1.61,2.7403
20210130,16.57,1.68,1.2986
20210131,18.17,1.94,1.0634
20210201,19.5,1.74,1.9891
20210202,19.02,1.96,1.843
20210203,19.26,1.78,2.6398
20210204,19.09,2.01,2.3921
20210205,19.15,1.79,3.1015
20210206,19.09,1.72,3.3005
20210207,19.81,1.47,3.6202
20210208,19.86,1.64,1.2941
20210209,15.45,3.52,0.9902
20210210,16.37,1.47,5.1233
20210211,16.59,1.24,4.1798
20210212,17.3,1.15,2.683
